C_svc,C_lgs,alpha_nb,ngram,trained,indexing
0.31000000000000005,4.300000000000002,2.8000000000000003,1,N,12210
0.31000000000000005,4.300000000000002,2.8000000000000003,2,N,12211
0.31000000000000005,4.300000000000002,2.8000000000000003,3,N,12212
0.31000000000000005,4.300000000000002,2.8000000000000003,4,N,12213
0.31000000000000005,4.300000000000002,2.8000000000000003,5,N,12214
0.31000000000000005,4.300000000000002,3.1000000000000005,1,N,12215
0.31000000000000005,4.300000000000002,3.1000000000000005,2,N,12216
0.31000000000000005,4.300000000000002,3.1000000000000005,3,N,12217
0.31000000000000005,4.300000000000002,3.1000000000000005,4,N,12218
0.31000000000000005,4.300000000000002,3.1000000000000005,5,N,12219
0.31000000000000005,4.300000000000002,3.4000000000000004,1,N,12220
0.31000000000000005,4.300000000000002,3.4000000000000004,2,N,12221
0.31000000000000005,4.300000000000002,3.4000000000000004,3,N,12222
0.31000000000000005,4.300000000000002,3.4000000000000004,4,N,12223
0.31000000000000005,4.300000000000002,3.4000000000000004,5,N,12224
0.31000000000000005,4.300000000000002,3.7,1,N,12225
0.31000000000000005,4.300000000000002,3.7,2,N,12226
0.31000000000000005,4.300000000000002,3.7,3,N,12227
0.31000000000000005,4.300000000000002,3.7,4,N,12228
0.31000000000000005,4.300000000000002,3.7,5,N,12229
0.31000000000000005,4.300000000000002,4.0,1,N,12230
0.31000000000000005,4.300000000000002,4.0,2,N,12231
0.31000000000000005,4.300000000000002,4.0,3,N,12232
0.31000000000000005,4.300000000000002,4.0,4,N,12233
0.31000000000000005,4.300000000000002,4.0,5,N,12234
0.31000000000000005,4.300000000000002,4.300000000000002,1,N,12235
0.31000000000000005,4.300000000000002,4.300000000000002,2,N,12236
0.31000000000000005,4.300000000000002,4.300000000000002,3,N,12237
0.31000000000000005,4.300000000000002,4.300000000000002,4,N,12238
0.31000000000000005,4.300000000000002,4.300000000000002,5,N,12239
0.31000000000000005,4.300000000000002,4.6000000000000005,1,N,12240
0.31000000000000005,4.300000000000002,4.6000000000000005,2,N,12241
0.31000000000000005,4.300000000000002,4.6000000000000005,3,N,12242
0.31000000000000005,4.300000000000002,4.6000000000000005,4,N,12243
0.31000000000000005,4.300000000000002,4.6000000000000005,5,N,12244
0.31000000000000005,4.300000000000002,4.9,1,N,12245
0.31000000000000005,4.300000000000002,4.9,2,N,12246
0.31000000000000005,4.300000000000002,4.9,3,N,12247
0.31000000000000005,4.300000000000002,4.9,4,N,12248
0.31000000000000005,4.300000000000002,4.9,5,N,12249
0.31000000000000005,4.6000000000000005,0.01,1,N,12250
0.31000000000000005,4.6000000000000005,0.01,2,N,12251
0.31000000000000005,4.6000000000000005,0.01,3,N,12252
0.31000000000000005,4.6000000000000005,0.01,4,N,12253
0.31000000000000005,4.6000000000000005,0.01,5,N,12254
0.31000000000000005,4.6000000000000005,0.11,1,N,12255
0.31000000000000005,4.6000000000000005,0.11,2,N,12256
0.31000000000000005,4.6000000000000005,0.11,3,N,12257
0.31000000000000005,4.6000000000000005,0.11,4,N,12258
0.31000000000000005,4.6000000000000005,0.11,5,N,12259
0.31000000000000005,4.6000000000000005,0.21,1,N,12260
0.31000000000000005,4.6000000000000005,0.21,2,N,12261
0.31000000000000005,4.6000000000000005,0.21,3,N,12262
0.31000000000000005,4.6000000000000005,0.21,4,N,12263
0.31000000000000005,4.6000000000000005,0.21,5,N,12264
0.31000000000000005,4.6000000000000005,0.31000000000000005,1,N,12265
0.31000000000000005,4.6000000000000005,0.31000000000000005,2,N,12266
0.31000000000000005,4.6000000000000005,0.31000000000000005,3,N,12267
0.31000000000000005,4.6000000000000005,0.31000000000000005,4,N,12268
0.31000000000000005,4.6000000000000005,0.31000000000000005,5,N,12269
0.31000000000000005,4.6000000000000005,0.41,1,N,12270
0.31000000000000005,4.6000000000000005,0.41,2,N,12271
0.31000000000000005,4.6000000000000005,0.41,3,N,12272
0.31000000000000005,4.6000000000000005,0.41,4,N,12273
0.31000000000000005,4.6000000000000005,0.41,5,N,12274
0.31000000000000005,4.6000000000000005,0.51,1,N,12275
0.31000000000000005,4.6000000000000005,0.51,2,N,12276
0.31000000000000005,4.6000000000000005,0.51,3,N,12277
0.31000000000000005,4.6000000000000005,0.51,4,N,12278
0.31000000000000005,4.6000000000000005,0.51,5,N,12279
0.31000000000000005,4.6000000000000005,0.6100000000000001,1,N,12280
0.31000000000000005,4.6000000000000005,0.6100000000000001,2,N,12281
0.31000000000000005,4.6000000000000005,0.6100000000000001,3,N,12282
0.31000000000000005,4.6000000000000005,0.6100000000000001,4,N,12283
0.31000000000000005,4.6000000000000005,0.6100000000000001,5,N,12284
0.31000000000000005,4.6000000000000005,0.7100000000000001,1,N,12285
0.31000000000000005,4.6000000000000005,0.7100000000000001,2,N,12286
0.31000000000000005,4.6000000000000005,0.7100000000000001,3,N,12287
0.31000000000000005,4.6000000000000005,0.7100000000000001,4,N,12288
0.31000000000000005,4.6000000000000005,0.7100000000000001,5,N,12289
0.31000000000000005,4.6000000000000005,0.81,1,N,12290
0.31000000000000005,4.6000000000000005,0.81,2,N,12291
0.31000000000000005,4.6000000000000005,0.81,3,N,12292
0.31000000000000005,4.6000000000000005,0.81,4,N,12293
0.31000000000000005,4.6000000000000005,0.81,5,N,12294
0.31000000000000005,4.6000000000000005,0.91,1,N,12295
0.31000000000000005,4.6000000000000005,0.91,2,N,12296
0.31000000000000005,4.6000000000000005,0.91,3,N,12297
0.31000000000000005,4.6000000000000005,0.91,4,N,12298
0.31000000000000005,4.6000000000000005,0.91,5,N,12299
0.31000000000000005,4.6000000000000005,1.01,1,N,12300
0.31000000000000005,4.6000000000000005,1.01,2,N,12301
0.31000000000000005,4.6000000000000005,1.01,3,N,12302
0.31000000000000005,4.6000000000000005,1.01,4,N,12303
0.31000000000000005,4.6000000000000005,1.01,5,N,12304
0.31000000000000005,4.6000000000000005,1.11,1,N,12305
0.31000000000000005,4.6000000000000005,1.11,2,N,12306
0.31000000000000005,4.6000000000000005,1.11,3,N,12307
0.31000000000000005,4.6000000000000005,1.11,4,N,12308
0.31000000000000005,4.6000000000000005,1.11,5,N,12309
0.31000000000000005,4.6000000000000005,1.3,1,N,12310
0.31000000000000005,4.6000000000000005,1.3,2,N,12311
0.31000000000000005,4.6000000000000005,1.3,3,N,12312
0.31000000000000005,4.6000000000000005,1.3,4,N,12313
0.31000000000000005,4.6000000000000005,1.3,5,N,12314
0.31000000000000005,4.6000000000000005,1.6,1,N,12315
0.31000000000000005,4.6000000000000005,1.6,2,N,12316
0.31000000000000005,4.6000000000000005,1.6,3,N,12317
0.31000000000000005,4.6000000000000005,1.6,4,N,12318
0.31000000000000005,4.6000000000000005,1.6,5,N,12319
0.31000000000000005,4.6000000000000005,1.9,1,N,12320
0.31000000000000005,4.6000000000000005,1.9,2,N,12321
0.31000000000000005,4.6000000000000005,1.9,3,N,12322
0.31000000000000005,4.6000000000000005,1.9,4,N,12323
0.31000000000000005,4.6000000000000005,1.9,5,N,12324
0.31000000000000005,4.6000000000000005,2.2,1,N,12325
0.31000000000000005,4.6000000000000005,2.2,2,N,12326
0.31000000000000005,4.6000000000000005,2.2,3,N,12327
0.31000000000000005,4.6000000000000005,2.2,4,N,12328
0.31000000000000005,4.6000000000000005,2.2,5,N,12329
0.31000000000000005,4.6000000000000005,2.5,1,N,12330
0.31000000000000005,4.6000000000000005,2.5,2,N,12331
0.31000000000000005,4.6000000000000005,2.5,3,N,12332
0.31000000000000005,4.6000000000000005,2.5,4,N,12333
0.31000000000000005,4.6000000000000005,2.5,5,N,12334
0.31000000000000005,4.6000000000000005,2.8000000000000003,1,N,12335
0.31000000000000005,4.6000000000000005,2.8000000000000003,2,N,12336
0.31000000000000005,4.6000000000000005,2.8000000000000003,3,N,12337
0.31000000000000005,4.6000000000000005,2.8000000000000003,4,N,12338
0.31000000000000005,4.6000000000000005,2.8000000000000003,5,N,12339
0.31000000000000005,4.6000000000000005,3.1000000000000005,1,N,12340
0.31000000000000005,4.6000000000000005,3.1000000000000005,2,N,12341
0.31000000000000005,4.6000000000000005,3.1000000000000005,3,N,12342
0.31000000000000005,4.6000000000000005,3.1000000000000005,4,N,12343
0.31000000000000005,4.6000000000000005,3.1000000000000005,5,N,12344
0.31000000000000005,4.6000000000000005,3.4000000000000004,1,N,12345
0.31000000000000005,4.6000000000000005,3.4000000000000004,2,N,12346
0.31000000000000005,4.6000000000000005,3.4000000000000004,3,N,12347
0.31000000000000005,4.6000000000000005,3.4000000000000004,4,N,12348
0.31000000000000005,4.6000000000000005,3.4000000000000004,5,N,12349
0.31000000000000005,4.6000000000000005,3.7,1,N,12350
0.31000000000000005,4.6000000000000005,3.7,2,N,12351
0.31000000000000005,4.6000000000000005,3.7,3,N,12352
0.31000000000000005,4.6000000000000005,3.7,4,N,12353
0.31000000000000005,4.6000000000000005,3.7,5,N,12354
0.31000000000000005,4.6000000000000005,4.0,1,N,12355
0.31000000000000005,4.6000000000000005,4.0,2,N,12356
0.31000000000000005,4.6000000000000005,4.0,3,N,12357
0.31000000000000005,4.6000000000000005,4.0,4,N,12358
0.31000000000000005,4.6000000000000005,4.0,5,N,12359
0.31000000000000005,4.6000000000000005,4.300000000000002,1,N,12360
0.31000000000000005,4.6000000000000005,4.300000000000002,2,N,12361
0.31000000000000005,4.6000000000000005,4.300000000000002,3,N,12362
0.31000000000000005,4.6000000000000005,4.300000000000002,4,N,12363
0.31000000000000005,4.6000000000000005,4.300000000000002,5,N,12364
0.31000000000000005,4.6000000000000005,4.6000000000000005,1,N,12365
0.31000000000000005,4.6000000000000005,4.6000000000000005,2,N,12366
0.31000000000000005,4.6000000000000005,4.6000000000000005,3,N,12367
0.31000000000000005,4.6000000000000005,4.6000000000000005,4,N,12368
0.31000000000000005,4.6000000000000005,4.6000000000000005,5,N,12369
0.31000000000000005,4.6000000000000005,4.9,1,N,12370
0.31000000000000005,4.6000000000000005,4.9,2,N,12371
0.31000000000000005,4.6000000000000005,4.9,3,N,12372
0.31000000000000005,4.6000000000000005,4.9,4,N,12373
0.31000000000000005,4.6000000000000005,4.9,5,N,12374
0.31000000000000005,4.9,0.01,1,N,12375
0.31000000000000005,4.9,0.01,2,N,12376
0.31000000000000005,4.9,0.01,3,N,12377
0.31000000000000005,4.9,0.01,4,N,12378
0.31000000000000005,4.9,0.01,5,N,12379
0.31000000000000005,4.9,0.11,1,N,12380
0.31000000000000005,4.9,0.11,2,N,12381
0.31000000000000005,4.9,0.11,3,N,12382
0.31000000000000005,4.9,0.11,4,N,12383
0.31000000000000005,4.9,0.11,5,N,12384
0.31000000000000005,4.9,0.21,1,N,12385
0.31000000000000005,4.9,0.21,2,N,12386
0.31000000000000005,4.9,0.21,3,N,12387
0.31000000000000005,4.9,0.21,4,N,12388
0.31000000000000005,4.9,0.21,5,N,12389
0.31000000000000005,4.9,0.31000000000000005,1,N,12390
0.31000000000000005,4.9,0.31000000000000005,2,N,12391
0.31000000000000005,4.9,0.31000000000000005,3,N,12392
0.31000000000000005,4.9,0.31000000000000005,4,N,12393
0.31000000000000005,4.9,0.31000000000000005,5,N,12394
0.31000000000000005,4.9,0.41,1,N,12395
0.31000000000000005,4.9,0.41,2,N,12396
0.31000000000000005,4.9,0.41,3,N,12397
0.31000000000000005,4.9,0.41,4,N,12398
0.31000000000000005,4.9,0.41,5,N,12399
0.31000000000000005,4.9,0.51,1,N,12400
0.31000000000000005,4.9,0.51,2,N,12401
0.31000000000000005,4.9,0.51,3,N,12402
0.31000000000000005,4.9,0.51,4,N,12403
0.31000000000000005,4.9,0.51,5,N,12404
0.31000000000000005,4.9,0.6100000000000001,1,N,12405
0.31000000000000005,4.9,0.6100000000000001,2,N,12406
0.31000000000000005,4.9,0.6100000000000001,3,N,12407
0.31000000000000005,4.9,0.6100000000000001,4,N,12408
0.31000000000000005,4.9,0.6100000000000001,5,N,12409
0.31000000000000005,4.9,0.7100000000000001,1,N,12410
0.31000000000000005,4.9,0.7100000000000001,2,N,12411
0.31000000000000005,4.9,0.7100000000000001,3,N,12412
0.31000000000000005,4.9,0.7100000000000001,4,N,12413
0.31000000000000005,4.9,0.7100000000000001,5,N,12414
0.31000000000000005,4.9,0.81,1,N,12415
0.31000000000000005,4.9,0.81,2,N,12416
0.31000000000000005,4.9,0.81,3,N,12417
0.31000000000000005,4.9,0.81,4,N,12418
0.31000000000000005,4.9,0.81,5,N,12419
0.31000000000000005,4.9,0.91,1,N,12420
0.31000000000000005,4.9,0.91,2,N,12421
0.31000000000000005,4.9,0.91,3,N,12422
0.31000000000000005,4.9,0.91,4,N,12423
0.31000000000000005,4.9,0.91,5,N,12424
0.31000000000000005,4.9,1.01,1,N,12425
0.31000000000000005,4.9,1.01,2,N,12426
0.31000000000000005,4.9,1.01,3,N,12427
0.31000000000000005,4.9,1.01,4,N,12428
0.31000000000000005,4.9,1.01,5,N,12429
0.31000000000000005,4.9,1.11,1,N,12430
0.31000000000000005,4.9,1.11,2,N,12431
0.31000000000000005,4.9,1.11,3,N,12432
0.31000000000000005,4.9,1.11,4,N,12433
0.31000000000000005,4.9,1.11,5,N,12434
0.31000000000000005,4.9,1.3,1,N,12435
0.31000000000000005,4.9,1.3,2,N,12436
0.31000000000000005,4.9,1.3,3,N,12437
0.31000000000000005,4.9,1.3,4,N,12438
0.31000000000000005,4.9,1.3,5,N,12439
0.31000000000000005,4.9,1.6,1,N,12440
0.31000000000000005,4.9,1.6,2,N,12441
0.31000000000000005,4.9,1.6,3,N,12442
0.31000000000000005,4.9,1.6,4,N,12443
0.31000000000000005,4.9,1.6,5,N,12444
0.31000000000000005,4.9,1.9,1,N,12445
0.31000000000000005,4.9,1.9,2,N,12446
0.31000000000000005,4.9,1.9,3,N,12447
0.31000000000000005,4.9,1.9,4,N,12448
0.31000000000000005,4.9,1.9,5,N,12449
0.31000000000000005,4.9,2.2,1,N,12450
0.31000000000000005,4.9,2.2,2,N,12451
0.31000000000000005,4.9,2.2,3,N,12452
0.31000000000000005,4.9,2.2,4,N,12453
0.31000000000000005,4.9,2.2,5,N,12454
0.31000000000000005,4.9,2.5,1,N,12455
0.31000000000000005,4.9,2.5,2,N,12456
0.31000000000000005,4.9,2.5,3,N,12457
0.31000000000000005,4.9,2.5,4,N,12458
0.31000000000000005,4.9,2.5,5,N,12459
0.31000000000000005,4.9,2.8000000000000003,1,N,12460
0.31000000000000005,4.9,2.8000000000000003,2,N,12461
0.31000000000000005,4.9,2.8000000000000003,3,N,12462
0.31000000000000005,4.9,2.8000000000000003,4,N,12463
0.31000000000000005,4.9,2.8000000000000003,5,N,12464
0.31000000000000005,4.9,3.1000000000000005,1,N,12465
0.31000000000000005,4.9,3.1000000000000005,2,N,12466
0.31000000000000005,4.9,3.1000000000000005,3,N,12467
0.31000000000000005,4.9,3.1000000000000005,4,N,12468
0.31000000000000005,4.9,3.1000000000000005,5,N,12469
0.31000000000000005,4.9,3.4000000000000004,1,N,12470
0.31000000000000005,4.9,3.4000000000000004,2,N,12471
0.31000000000000005,4.9,3.4000000000000004,3,N,12472
0.31000000000000005,4.9,3.4000000000000004,4,N,12473
0.31000000000000005,4.9,3.4000000000000004,5,N,12474
0.31000000000000005,4.9,3.7,1,N,12475
0.31000000000000005,4.9,3.7,2,N,12476
0.31000000000000005,4.9,3.7,3,N,12477
0.31000000000000005,4.9,3.7,4,N,12478
0.31000000000000005,4.9,3.7,5,N,12479
0.31000000000000005,4.9,4.0,1,N,12480
0.31000000000000005,4.9,4.0,2,N,12481
0.31000000000000005,4.9,4.0,3,N,12482
0.31000000000000005,4.9,4.0,4,N,12483
0.31000000000000005,4.9,4.0,5,N,12484
0.31000000000000005,4.9,4.300000000000002,1,N,12485
0.31000000000000005,4.9,4.300000000000002,2,N,12486
0.31000000000000005,4.9,4.300000000000002,3,N,12487
0.31000000000000005,4.9,4.300000000000002,4,N,12488
0.31000000000000005,4.9,4.300000000000002,5,N,12489
0.31000000000000005,4.9,4.6000000000000005,1,N,12490
0.31000000000000005,4.9,4.6000000000000005,2,N,12491
0.31000000000000005,4.9,4.6000000000000005,3,N,12492
0.31000000000000005,4.9,4.6000000000000005,4,N,12493
0.31000000000000005,4.9,4.6000000000000005,5,N,12494
0.31000000000000005,4.9,4.9,1,N,12495
0.31000000000000005,4.9,4.9,2,N,12496
0.31000000000000005,4.9,4.9,3,N,12497
0.31000000000000005,4.9,4.9,4,N,12498
0.31000000000000005,4.9,4.9,5,N,12499
0.41,0.01,0.01,1,N,12500
0.41,0.01,0.01,2,N,12501
0.41,0.01,0.01,3,N,12502
0.41,0.01,0.01,4,N,12503
0.41,0.01,0.01,5,N,12504
0.41,0.01,0.11,1,N,12505
0.41,0.01,0.11,2,N,12506
0.41,0.01,0.11,3,N,12507
0.41,0.01,0.11,4,N,12508
0.41,0.01,0.11,5,N,12509
0.41,0.01,0.21,1,N,12510
0.41,0.01,0.21,2,N,12511
0.41,0.01,0.21,3,N,12512
0.41,0.01,0.21,4,N,12513
0.41,0.01,0.21,5,N,12514
0.41,0.01,0.31000000000000005,1,N,12515
0.41,0.01,0.31000000000000005,2,N,12516
0.41,0.01,0.31000000000000005,3,N,12517
0.41,0.01,0.31000000000000005,4,N,12518
0.41,0.01,0.31000000000000005,5,N,12519
0.41,0.01,0.41,1,N,12520
0.41,0.01,0.41,2,N,12521
0.41,0.01,0.41,3,N,12522
0.41,0.01,0.41,4,N,12523
0.41,0.01,0.41,5,N,12524
0.41,0.01,0.51,1,N,12525
0.41,0.01,0.51,2,N,12526
0.41,0.01,0.51,3,N,12527
0.41,0.01,0.51,4,N,12528
0.41,0.01,0.51,5,N,12529
0.41,0.01,0.6100000000000001,1,N,12530
0.41,0.01,0.6100000000000001,2,N,12531
0.41,0.01,0.6100000000000001,3,N,12532
0.41,0.01,0.6100000000000001,4,N,12533
0.41,0.01,0.6100000000000001,5,N,12534
0.41,0.01,0.7100000000000001,1,N,12535
0.41,0.01,0.7100000000000001,2,N,12536
0.41,0.01,0.7100000000000001,3,N,12537
0.41,0.01,0.7100000000000001,4,N,12538
0.41,0.01,0.7100000000000001,5,N,12539
0.41,0.01,0.81,1,N,12540
0.41,0.01,0.81,2,N,12541
0.41,0.01,0.81,3,N,12542
0.41,0.01,0.81,4,N,12543
0.41,0.01,0.81,5,N,12544
0.41,0.01,0.91,1,N,12545
0.41,0.01,0.91,2,N,12546
0.41,0.01,0.91,3,N,12547
0.41,0.01,0.91,4,N,12548
0.41,0.01,0.91,5,N,12549
0.41,0.01,1.01,1,N,12550
0.41,0.01,1.01,2,N,12551
0.41,0.01,1.01,3,N,12552
0.41,0.01,1.01,4,N,12553
0.41,0.01,1.01,5,N,12554
0.41,0.01,1.11,1,N,12555
0.41,0.01,1.11,2,N,12556
0.41,0.01,1.11,3,N,12557
0.41,0.01,1.11,4,N,12558
0.41,0.01,1.11,5,N,12559
0.41,0.01,1.3,1,N,12560
0.41,0.01,1.3,2,N,12561
0.41,0.01,1.3,3,N,12562
0.41,0.01,1.3,4,N,12563
0.41,0.01,1.3,5,N,12564
0.41,0.01,1.6,1,N,12565
0.41,0.01,1.6,2,N,12566
0.41,0.01,1.6,3,N,12567
0.41,0.01,1.6,4,N,12568
0.41,0.01,1.6,5,N,12569
0.41,0.01,1.9,1,N,12570
0.41,0.01,1.9,2,N,12571
0.41,0.01,1.9,3,N,12572
0.41,0.01,1.9,4,N,12573
0.41,0.01,1.9,5,N,12574
0.41,0.01,2.2,1,N,12575
0.41,0.01,2.2,2,N,12576
0.41,0.01,2.2,3,N,12577
0.41,0.01,2.2,4,N,12578
0.41,0.01,2.2,5,N,12579
0.41,0.01,2.5,1,N,12580
0.41,0.01,2.5,2,N,12581
0.41,0.01,2.5,3,N,12582
0.41,0.01,2.5,4,N,12583
0.41,0.01,2.5,5,N,12584
0.41,0.01,2.8000000000000003,1,N,12585
0.41,0.01,2.8000000000000003,2,N,12586
0.41,0.01,2.8000000000000003,3,N,12587
0.41,0.01,2.8000000000000003,4,N,12588
0.41,0.01,2.8000000000000003,5,N,12589
0.41,0.01,3.1000000000000005,1,N,12590
0.41,0.01,3.1000000000000005,2,N,12591
0.41,0.01,3.1000000000000005,3,N,12592
0.41,0.01,3.1000000000000005,4,N,12593
0.41,0.01,3.1000000000000005,5,N,12594
0.41,0.01,3.4000000000000004,1,N,12595
0.41,0.01,3.4000000000000004,2,N,12596
0.41,0.01,3.4000000000000004,3,N,12597
0.41,0.01,3.4000000000000004,4,N,12598
0.41,0.01,3.4000000000000004,5,N,12599
0.41,0.01,3.7,1,N,12600
0.41,0.01,3.7,2,N,12601
0.41,0.01,3.7,3,N,12602
0.41,0.01,3.7,4,N,12603
0.41,0.01,3.7,5,N,12604
0.41,0.01,4.0,1,N,12605
0.41,0.01,4.0,2,N,12606
0.41,0.01,4.0,3,N,12607
0.41,0.01,4.0,4,N,12608
0.41,0.01,4.0,5,N,12609
0.41,0.01,4.300000000000002,1,N,12610
0.41,0.01,4.300000000000002,2,N,12611
0.41,0.01,4.300000000000002,3,N,12612
0.41,0.01,4.300000000000002,4,N,12613
0.41,0.01,4.300000000000002,5,N,12614
0.41,0.01,4.6000000000000005,1,N,12615
0.41,0.01,4.6000000000000005,2,N,12616
0.41,0.01,4.6000000000000005,3,N,12617
0.41,0.01,4.6000000000000005,4,N,12618
0.41,0.01,4.6000000000000005,5,N,12619
0.41,0.01,4.9,1,N,12620
0.41,0.01,4.9,2,N,12621
0.41,0.01,4.9,3,N,12622
0.41,0.01,4.9,4,N,12623
0.41,0.01,4.9,5,N,12624
0.41,0.11,0.01,1,N,12625
0.41,0.11,0.01,2,N,12626
0.41,0.11,0.01,3,N,12627
0.41,0.11,0.01,4,N,12628
0.41,0.11,0.01,5,N,12629
0.41,0.11,0.11,1,N,12630
0.41,0.11,0.11,2,N,12631
0.41,0.11,0.11,3,N,12632
0.41,0.11,0.11,4,N,12633
0.41,0.11,0.11,5,N,12634
0.41,0.11,0.21,1,N,12635
0.41,0.11,0.21,2,N,12636
0.41,0.11,0.21,3,N,12637
0.41,0.11,0.21,4,N,12638
0.41,0.11,0.21,5,N,12639
0.41,0.11,0.31000000000000005,1,N,12640
0.41,0.11,0.31000000000000005,2,N,12641
0.41,0.11,0.31000000000000005,3,N,12642
0.41,0.11,0.31000000000000005,4,N,12643
0.41,0.11,0.31000000000000005,5,N,12644
0.41,0.11,0.41,1,N,12645
0.41,0.11,0.41,2,N,12646
0.41,0.11,0.41,3,N,12647
0.41,0.11,0.41,4,N,12648
0.41,0.11,0.41,5,N,12649
0.41,0.11,0.51,1,N,12650
0.41,0.11,0.51,2,N,12651
0.41,0.11,0.51,3,N,12652
0.41,0.11,0.51,4,N,12653
0.41,0.11,0.51,5,N,12654
0.41,0.11,0.6100000000000001,1,N,12655
0.41,0.11,0.6100000000000001,2,N,12656
0.41,0.11,0.6100000000000001,3,N,12657
0.41,0.11,0.6100000000000001,4,N,12658
0.41,0.11,0.6100000000000001,5,N,12659
0.41,0.11,0.7100000000000001,1,N,12660
0.41,0.11,0.7100000000000001,2,N,12661
0.41,0.11,0.7100000000000001,3,N,12662
0.41,0.11,0.7100000000000001,4,N,12663
0.41,0.11,0.7100000000000001,5,N,12664
0.41,0.11,0.81,1,N,12665
0.41,0.11,0.81,2,N,12666
0.41,0.11,0.81,3,N,12667
0.41,0.11,0.81,4,N,12668
0.41,0.11,0.81,5,N,12669
0.41,0.11,0.91,1,N,12670
0.41,0.11,0.91,2,N,12671
0.41,0.11,0.91,3,N,12672
0.41,0.11,0.91,4,N,12673
0.41,0.11,0.91,5,N,12674
0.41,0.11,1.01,1,N,12675
0.41,0.11,1.01,2,N,12676
0.41,0.11,1.01,3,N,12677
0.41,0.11,1.01,4,N,12678
0.41,0.11,1.01,5,N,12679
0.41,0.11,1.11,1,N,12680
0.41,0.11,1.11,2,N,12681
0.41,0.11,1.11,3,N,12682
0.41,0.11,1.11,4,N,12683
0.41,0.11,1.11,5,N,12684
0.41,0.11,1.3,1,N,12685
0.41,0.11,1.3,2,N,12686
0.41,0.11,1.3,3,N,12687
0.41,0.11,1.3,4,N,12688
0.41,0.11,1.3,5,N,12689
0.41,0.11,1.6,1,N,12690
0.41,0.11,1.6,2,N,12691
0.41,0.11,1.6,3,N,12692
0.41,0.11,1.6,4,N,12693
0.41,0.11,1.6,5,N,12694
0.41,0.11,1.9,1,N,12695
0.41,0.11,1.9,2,N,12696
0.41,0.11,1.9,3,N,12697
0.41,0.11,1.9,4,N,12698
0.41,0.11,1.9,5,N,12699
