文本,类别
飞机上,故意岔开话题
做火车呢,故意岔开话题
都吃饭了,故意岔开话题
等我跟老板商量能预支工资不,故意岔开话题
我电话快没电了,故意岔开话题
我电话有点问题,故意岔开话题
我好累,故意岔开话题
我好忙,故意岔开话题
你不认识我？,故意岔开话题
吃饭,故意岔开话题
在下雨！,故意岔开话题
雨太大,故意岔开话题
雨好大，我先闪了。,故意岔开话题
修手机,故意岔开话题
现在已经晚上10点，你们不下班吗,故意岔开话题
先不说了，我要去打麻将了,故意岔开话题
下雨了,故意岔开话题
下暴雨来了,故意岔开话题
我在看世界杯，英格兰出现,故意岔开话题
我在看世界杯，伊朗out,故意岔开话题
大雨即将来临,故意岔开话题
我在看世界杯，日本死翘翘了,故意岔开话题
我在看世界杯，你看没,故意岔开话题
我在看世界杯，你堵谁赢,故意岔开话题
我在看世界杯，法国out,故意岔开话题
我在看世界杯，别骚扰我,故意岔开话题
我在看世界杯，别打扰我,故意岔开话题
我在看世界杯,故意岔开话题
我在打牌,故意岔开话题
我没时间,故意岔开话题
我没空,故意岔开话题
我忙了,故意岔开话题
我今天要看球赛，不要烦我,故意岔开话题
我今天要看球赛,故意岔开话题
我在看世界杯，你是铲屎官,故意岔开话题
我是喜欢你,故意岔开话题
明天天气很好,故意岔开话题
我是天下第一帅,故意岔开话题
今天真是好天气呀,故意岔开话题
今天中午喝稀饭,故意岔开话题
今天中午没吃饭,故意岔开话题
竟如此融洽,故意岔开话题
看此生应是有志难酬,故意岔开话题
看到到电视,故意岔开话题
看燕来 看花艳,故意岔开话题
可能啊,故意岔开话题
可能是我在做梦吧,故意岔开话题
可是一粒粮食是父母的希望啊,故意岔开话题
可惜不是你,故意岔开话题
可以用其他东西抵押不,故意岔开话题
克罗地亚大败阿根廷,故意岔开话题
空了打麻将哈,故意岔开话题
空调好冷,故意岔开话题
快收衣服了,故意岔开话题
宽容宽容哈～,故意岔开话题
没毛病666,故意岔开话题
满满的月光,故意岔开话题
麦子熟了,故意岔开话题
马作的卢弓如霹雳征战沙场,故意岔开话题
六一儿童节快乐,故意岔开话题
凉风有信没意思,故意岔开话题
今天早上没吃饭,故意岔开话题
来赋词几首,故意岔开话题
啦啦,故意岔开话题
宽恕我的平凡了,故意岔开话题
宽恕我的平凡哈哈哈,故意岔开话题
宽恕我的平凡哈,故意岔开话题
宽恕我的平凡啊,故意岔开话题
宽恕我的平凡阿,故意岔开话题
啦啦啦,故意岔开话题
没听他说过么～,故意岔开话题
今天早上吃馒头,故意岔开话题
今天心情不好哈,故意岔开话题
驾一叶扁舟,故意岔开话题
捡破烂,故意岔开话题
借楚天千里清秋,故意岔开话题
今生无缘，来世再见,故意岔开话题
今天不吃饭,故意岔开话题
今天出去吃,故意岔开话题
今天风大哈～,故意岔开话题
今天天公不作美,故意岔开话题
今天天公不作美，唉,故意岔开话题
今天天公不作美，心情不好,故意岔开话题
今天天公不作美，郁闷,故意岔开话题
今天天气不错,故意岔开话题
今天天气好,故意岔开话题
今天天气好晴朗，处处好风光,故意岔开话题
今天天气很好,故意岔开话题
今天天气很好，没意思,故意岔开话题
今天天气很好阿,故意岔开话题
今天晚上没吃饭,故意岔开话题
今天晚上不吃饭,故意岔开话题
今天天气真好也,故意岔开话题
今天天气真好哈哈哈,故意岔开话题
今天天气真好哈,故意岔开话题
今天天气真好阿,故意岔开话题
今天有点热，你们有空调吗,故意岔开话题
今天天气真好,故意岔开话题
今天天气很好哇,故意岔开话题
今天天气很好没意思,故意岔开话题
今天天气很好哈哈哈,故意岔开话题
今天天气很好哈,故意岔开话题
今天天气很好嗯,故意岔开话题
今天天气很好吧,故意岔开话题
今天天气很好者,故意岔开话题
美芹心意,故意岔开话题
明天出去玩,故意岔开话题
墨西哥赢了,故意岔开话题
气温已经到了34度，你们要注意保温,故意岔开话题
汽车还多啊,故意岔开话题
钱钱都舍不得,故意岔开话题
钱钱钱，命相连了,故意岔开话题
清风明月稻花香里蝉鸣声声,故意岔开话题
情千变万化,故意岔开话题
秋月无边嗯,故意岔开话题
秋月无边乎,故意岔开话题
秋月无边没意思,故意岔开话题
秋月无边哇,故意岔开话题
去不到终点，就回到原点阿,故意岔开话题
去不到终点，就回到原点嗯,故意岔开话题
去不到终点，就回到原点哈哈哈,故意岔开话题
去不到终点，就回到原点了,故意岔开话题
去不到终点，就回到原点哇,故意岔开话题
却明争暗斗,故意岔开话题
人都不好了,故意岔开话题
收失地,故意岔开话题
收人了,故意岔开话题
是不是那个在敲代码的？,故意岔开话题
世界这么大，我想去看看没意思,故意岔开话题
世界杯,故意岔开话题
实在是,故意岔开话题
气氛开始有一点尴尬,故意岔开话题
尚能饭否,故意岔开话题
瑞士赢了,故意岔开话题
瑞典赢了,故意岔开话题
日本赢了,故意岔开话题
人血馒头不好吃,故意岔开话题
人太多了,故意岔开话题
人人都在闹,故意岔开话题
若一心一意,故意岔开话题
起床了,故意岔开话题
乞讨,故意岔开话题
其他人的,故意岔开话题
你看过侏罗纪世界吗,故意岔开话题
你就pause,故意岔开话题
你会输,故意岔开话题
你好美,故意岔开话题
你好坏,故意岔开话题
你的背包，背到现在还没烂,故意岔开话题
你没事吧,故意岔开话题
你嘚瑟嘛,故意岔开话题
你吃饭没嘛,故意岔开话题
你吃饭了么,故意岔开话题
你吃饱了吗,故意岔开话题
你测试下,故意岔开话题
能请我看一场电影吗,故意岔开话题
难回首,故意岔开话题
你打我孙，我打你爸,故意岔开话题
记得冲水费,故意岔开话题
你美眷如花,故意岔开话题
你们一定饿了哇，还够嘛？再来一盘菜，先欠到。,故意岔开话题
葡萄牙赢了,故意岔开话题
葡萄牙输了,故意岔开话题
偏安一隅而不思北收,故意岔开话题
牛逼,故意岔开话题
年少万兜鍪,故意岔开话题
你在说书嘛,故意岔开话题
你们放贷有点赚钱哦，能不能分享下经验,故意岔开话题
你有药吗,故意岔开话题
你有没有爱上我,故意岔开话题
你要请我看电影吗,故意岔开话题
你喜欢刘德华不,故意岔开话题
你们最近看世界杯吗,故意岔开话题
你们一天可以打好多个这种电话,故意岔开话题
你们一天工作好多小时,故意岔开话题
你有没有礼貌哟,故意岔开话题
收衣服了,故意岔开话题
几多浓烈的相思,故意岔开话题
会不会惊扰梦乡,故意岔开话题
你敢来见我么？,故意岔开话题
不清楚,故意岔开话题
需要承担什么责任么,故意岔开话题
我又不止借了你们一家公司,故意岔开话题
不晓得,故意岔开话题
要钱没有，要命一条,故意岔开话题
叮叮有没有,故意岔开话题
还不起你又能把我怎样,故意岔开话题
你有没有叮叮,故意岔开话题
大雁飞过去,故意岔开话题
还有那满满的心意,故意岔开话题
几多离愁  花间朦胧把酒,故意岔开话题
看不尽江水东流,故意岔开话题
看到、看到、最高的云里,故意岔开话题
料峭清风正轻奏   伊人瘦,故意岔开话题
抢五月的时候有你的身影吗,故意岔开话题
小溪向东去,故意岔开话题
啊，五环，你不四环多一环,故意岔开话题
啊，五环，你不六环少一环,故意岔开话题
阿斯顿撒,故意岔开话题
阿拉小得了,故意岔开话题
阿根廷赢了,故意岔开话题
阿根廷进球了,故意岔开话题
要不你报警抓我吧,故意岔开话题
阿根廷出局了,故意岔开话题
醉里登高却不见吴钩,故意岔开话题
只要你能在地头儿转转不用说个啥,故意岔开话题
约定好、约定好,故意岔开话题
欲说还休  依稀新词强说愁,故意岔开话题
欲举目神州  一片南雁北走,故意岔开话题
要分离、要分离,故意岔开话题
阿大,故意岔开话题
埃及输了,故意岔开话题
光脚的不怕穿鞋的,故意岔开话题
唷唷,故意岔开话题
你打我电话不知道我是谁？,故意岔开话题
你瓜娃子所,故意岔开话题
优惠力度那么小，算了,故意岔开话题
除非你带你闺蜜来我家,故意岔开话题
明天朋友就换我钱了,故意岔开话题
除非你晚上来我家,故意岔开话题
哪个来帮哈我嘛,故意岔开话题
我看不清,故意岔开话题
没办法,故意岔开话题
我是别个帮我办的,故意岔开话题
管不到了,故意岔开话题
整不来关键是,故意岔开话题
好累,故意岔开话题
呵呵,故意岔开话题
呵呵，没意思,故意岔开话题
呵呵吧,故意岔开话题
呵呵哈,故意岔开话题
哟哟,故意岔开话题
不慌，我可以先唱首歌给你听一下,故意岔开话题
你们还发福利了啊,故意岔开话题
你想多了,故意岔开话题
嘿嘿嘿哈哈哈,故意岔开话题
嘿嘿嘿嗯,故意岔开话题
这明显是不可能的,故意岔开话题
嘿嘿嘿吧,故意岔开话题
嘿嘿嘿，没意思,故意岔开话题
嘿嘿嘿,故意岔开话题
嘿嘿,故意岔开话题
呵呵哇,故意岔开话题
呵呵没意思,故意岔开话题
呵呵呵呵,故意岔开话题
嘿嘿嘿啊,故意岔开话题
爱春雨,故意岔开话题
爱了月光,故意岔开话题
爱上层楼 天凉又难道是秋,故意岔开话题
注意身体,故意岔开话题
走起，出去耍,故意岔开话题
醉里挑灯吹角连营梦里依稀,故意岔开话题
昨天的彩票没有中，今天继续买,故意岔开话题
昨天我订的那只兔子快点给我送过来,故意岔开话题
法国输了,故意岔开话题
法国赢了,故意岔开话题
丰年意,故意岔开话题
风吹雨打愿山河依旧,故意岔开话题
父母的干劲儿会一年更比一年大,故意岔开话题
干你们这行工资高不,故意岔开话题
哥们儿，吃午饭没,故意岔开话题
哥在不,故意岔开话题
跟你去到遥远的梦里,故意岔开话题
跟着我摇摆,故意岔开话题
哏哏,故意岔开话题
股民朋友吗,故意岔开话题
会不会改变模样,故意岔开话题
回忆总想哭，一个人太孤独呢,故意岔开话题
唤取红巾翠袖,故意岔开话题
划落的万千情丝,故意岔开话题
花儿、花儿、慢慢落下,故意岔开话题
荷兰输了,故意岔开话题
终于完了,故意岔开话题
好漂亮,故意岔开话题
好美丽,故意岔开话题
韩国赢了,故意岔开话题
害怕这美丽的瞬间遗忘,故意岔开话题
过来坐下不嘛,故意岔开话题
过来喝茶哈,故意岔开话题
官人进来坐坐好吗,故意岔开话题
好牌,故意岔开话题
中国主权,故意岔开话题
智利赢了,故意岔开话题
栀子花吐着芳香,故意岔开话题
侧酒自倾上重霄,故意岔开话题
草好绿,故意岔开话题
不用干活你也没时间回家吗,故意岔开话题
不思量有多少遗憾,故意岔开话题
不好不坏,故意岔开话题
不得哦，今天不得下雨哦，太阳大得很。,故意岔开话题
趁着夜还未央,故意岔开话题
不打错电话了哇,故意岔开话题
别扶我,故意岔开话题
比利时输了,故意岔开话题
保护自己,故意岔开话题
把你印上我的翅膀,故意岔开话题
巴西赢了,故意岔开话题
巴西输了,故意岔开话题
冰岛会赢,故意岔开话题
即便这功劳尽舍弃,故意岔开话题
出门独占车马道,故意岔开话题
触动我的,故意岔开话题
这雨真大,故意岔开话题
独自品尝,故意岔开话题
电脑好卡,故意岔开话题
德国赢球了,故意岔开话题
德国赢了,故意岔开话题
德国输了,故意岔开话题
出太阳了,故意岔开话题
德国,故意岔开话题
打雷了哇？,故意岔开话题
打雷了,故意岔开话题
打豆豆了,故意岔开话题
打滴,故意岔开话题
答案想得头疼,故意岔开话题
春暖花开,故意岔开话题
但为康乐解酒刨,故意岔开话题
我是天下无敌超级无敌非常帅,故意岔开话题
收音机坏了,故意岔开话题
束裾投酒定杰豪,故意岔开话题
摩托,故意岔开话题
能不能换个女的来,故意岔开话题
能用的钱有多少,故意岔开话题
你爸爸咋样啦？,故意岔开话题
你帮我带一句话给他,故意岔开话题
你被逮捕了,故意岔开话题
你吵到我睡觉了,故意岔开话题
你吃**了吗,故意岔开话题
你吃粑粑了吗,故意岔开话题
你吃臭臭了吗,故意岔开话题
你吃大了吗,故意岔开话题
你吃的多吗,故意岔开话题
你吃东西了吗,故意岔开话题
你吃饭了吗,故意岔开话题
你吃饭了吗；w,故意岔开话题
你吃饭了么,故意岔开话题
你吃饭了没,故意岔开话题
你好可爱,故意岔开话题
你还没下班,故意岔开话题
你工作咋样？,故意岔开话题
你给我好处我就告诉你,故意岔开话题
你发工资了没有,故意岔开话题
你大舅咋样？,故意岔开话题
你们简直是高利贷哦没意思,故意岔开话题
你大舅妈咋样？,故意岔开话题
你吃爽了吗,故意岔开话题
你吃了没,故意岔开话题
你吃了吗,故意岔开话题
你吃嗨了吗,故意岔开话题
你吃够了吗,故意岔开话题
你吃饭没有,故意岔开话题
你打错了,故意岔开话题
你好吗？,故意岔开话题
领导来了,故意岔开话题
丽丽，咋是你呢？,故意岔开话题
今天天气不错啊,故意岔开话题
今天天气不好不想说话,故意岔开话题
今天天气好,故意岔开话题
今天天气好啊,故意岔开话题
今天天气好安逸,故意岔开话题
今天天气好棒,故意岔开话题
今天天气好差,故意岔开话题
今天天气好的很,故意岔开话题
今天天气好好,故意岔开话题
今天天气好爽,故意岔开话题
今天天气好爽啊,故意岔开话题
今天天气好爽啊哈哈哈,故意岔开话题
今天天气好爽啊真的,故意岔开话题
今天天气好爽哈哈,故意岔开话题
今天天气很好,故意岔开话题
今天天气挺好,故意岔开话题
今天天气真好,故意岔开话题
了解,故意岔开话题
拉黑,故意岔开话题
快涨工资,故意岔开话题
快结束了,故意岔开话题
看不到,故意岔开话题
开玩笑,故意岔开话题
莉莉，咋是你呢？,故意岔开话题
开车了不知道,故意岔开话题
今天有点热,故意岔开话题
今天有点冷,故意岔开话题
今天下雨了,故意岔开话题
今天我很帅,故意岔开话题
今天我还不了,故意岔开话题
今天外面居然下雨了,故意岔开话题
进传销了,故意岔开话题
你后天处理吗,故意岔开话题
你回家了吗,故意岔开话题
你急啥啊,故意岔开话题
失踪了,故意岔开话题
随缘,故意岔开话题
太阳好大啊,故意岔开话题
太阳太大了,故意岔开话题
提现,故意岔开话题
提债挂,故意岔开话题
天气,故意岔开话题
天气不错,故意岔开话题
天气好,故意岔开话题
天气很好,故意岔开话题
天气很好呀,故意岔开话题
天气如何啊？,故意岔开话题
天气我怎样,故意岔开话题
天气怎么样,故意岔开话题
天气怎么样啊,故意岔开话题
天气怎样,故意岔开话题
天气怎样啊,故意岔开话题
我是大帅哥,故意岔开话题
我骗你什么,故意岔开话题
我老帅了,故意岔开话题
我好帅,故意岔开话题
我好man啊,故意岔开话题
我刚买的,故意岔开话题
什么样,故意岔开话题
我吃过午饭了,故意岔开话题
我不要买什么产品,故意岔开话题
我不买房,故意岔开话题
我不开心,故意岔开话题
哇哇那件衣服好好看,故意岔开话题
天上下雨了,故意岔开话题
天气真好,故意岔开话题
我吃饭了，你自言自语吧,故意岔开话题
什么颜色的衣服,故意岔开话题
什么时候没有联系啊,故意岔开话题
深井冰,故意岔开话题
你去看电影了吗,故意岔开话题
你去超市吗,故意岔开话题
你们是同事吧,故意岔开话题
你们是啥关系,故意岔开话题
你们能拿多少钱工资啊,故意岔开话题
你们吃饭了吗,故意岔开话题
你上班累不,故意岔开话题
你妹妹咋样？,故意岔开话题
你妈妈咋样？,故意岔开话题
你累不累呀,故意岔开话题
你老婆咋样？,故意岔开话题
你困不困,故意岔开话题
你看我咋样,故意岔开话题
你今天上边没,故意岔开话题
你吗关系很好吧,故意岔开话题
今天天气不错,故意岔开话题
你生活咋样？,故意岔开话题
你声音挺好听的,故意岔开话题
上面有答案,故意岔开话题
上方有答案,故意岔开话题
上方有,故意岔开话题
上方第三题答案,故意岔开话题
人太多了,故意岔开话题
人事会给你解释,故意岔开话题
你声音好好听,故意岔开话题
人品不好,故意岔开话题
你有男朋友不,故意岔开话题
你一月挣多少,故意岔开话题
你一小时挣多少,故意岔开话题
你一小时接待多少客人？,故意岔开话题
你一天挣多少,故意岔开话题
你喜不喜欢我,故意岔开话题
前面那条狗好可爱,故意岔开话题
受伤了,故意岔开话题
今天天不错,故意岔开话题
今天热不热呀,故意岔开话题
为我泡杯花茶,故意岔开话题
我饿了,故意岔开话题
我很亲切,故意岔开话题
我浪迹天涯,故意岔开话题
我们会赢,故意岔开话题
我你都不认识啦？,故意岔开话题
我情不自禁会为你牵挂,故意岔开话题
我是做贷款的，请问你需要吗,故意岔开话题
我先唱一首歌吧,故意岔开话题
我先问个问题呢,故意岔开话题
我想出去走一走，看看这个大世界哇,故意岔开话题
我想回家,故意岔开话题
我想请你吃饭,故意岔开话题
我想请你看电影,故意岔开话题
我想要的是无话不说,故意岔开话题
无人问津廉颇几斗,故意岔开话题
西班牙输了,故意岔开话题
一杯敬朝阳，一环敬月光呢,故意岔开话题
夜深人静,故意岔开话题
也要花蕊绽放,故意岔开话题
也笑不信人间有白头,故意岔开话题
央行降准了,故意岔开话题
呀,故意岔开话题
往昔觅封侯,故意岔开话题
雪在融化,故意岔开话题
写得鬼火冒,故意岔开话题
小生的花伞还落在你家,故意岔开话题
想春风,故意岔开话题
先来一首五环之歌吧,故意岔开话题
吓死恩,故意岔开话题
西班牙赢了,故意岔开话题
吁,故意岔开话题
一边呆着,故意岔开话题
万军敌营等闲走,故意岔开话题
退阵杀敌,故意岔开话题
树好高,故意岔开话题
谁在乎蝴蝶的匆忙,故意岔开话题
水在流淌,故意岔开话题
水胀满了,故意岔开话题
睡莲静立水中央,故意岔开话题
说散就散,故意岔开话题
算了，我可以请你吃饭,故意岔开话题
太甜了,故意岔开话题
太阳好大,故意岔开话题
天好冷,故意岔开话题
天黑了，你也该下班了？改天再说。,故意岔开话题
天空飘来一朵云,故意岔开话题
天空飘来一朵云，暴风雨来了,故意岔开话题
天空飘来一朵云，晴天霹雳啊,故意岔开话题
天空飘来一朵云，像匹马,故意岔开话题
天空飘来一朵云，这都不是事,故意岔开话题
天亮了再说话，现在天黑起的,故意岔开话题
透不过气来,故意岔开话题
天在下雨,故意岔开话题
天天吃饭,故意岔开话题
天太热了,故意岔开话题
天太热,故意岔开话题
天晴晴朗,故意岔开话题
晚上吃个饭嘛,故意岔开话题
天晴了,故意岔开话题
天气太热了,故意岔开话题
天气很好啊,故意岔开话题
天气很好,故意岔开话题
天气好晴朗，去冲浪,故意岔开话题
天气不错,故意岔开话题
天气,故意岔开话题
天气怎样,故意岔开话题
一次,故意岔开话题
一壶好酒,故意岔开话题
一亩地的收获顶不上一趟车票的价,故意岔开话题
答案跟问题三一样的,故意岔开话题
答对有奖励,故意岔开话题
答非所问,故意岔开话题
打雷了,故意岔开话题
大大大大后天天气很好,故意岔开话题
大大大后天天气很好,故意岔开话题
大大后天天气很好,故意岔开话题
大概,故意岔开话题
大概吧,故意岔开话题
大后天天气很好,故意岔开话题
大家联系,故意岔开话题
地震了,故意岔开话题
赌博,故意岔开话题
多摆一盘？,故意岔开话题
刚吃过,故意岔开话题
哈哈,故意岔开话题
哈哈哈,故意岔开话题
今天几号啊,故意岔开话题
今天风太大了,故意岔开话题
今天出太阳了,故意岔开话题
假的,故意岔开话题
家哪里的啊,故意岔开话题
家里人可以还吧,故意岔开话题
吃了吗,故意岔开话题
记得吃饭,故意岔开话题
嘿嘿,故意岔开话题
呵呵呵呵,故意岔开话题
呵呵,故意岔开话题
还有谁比我帅,故意岔开话题
还要什么自行车,故意岔开话题
哈哈哈哈哈你们真搞笑,故意岔开话题
后天天气很好,故意岔开话题
吃了,故意岔开话题
吃饭了没,故意岔开话题
成都欢迎您,故意岔开话题
有些花香在指尖,故意岔开话题
有些风景在心间,故意岔开话题
有钱人,故意岔开话题
有多少往事,故意岔开话题
英格兰赢了,故意岔开话题
英格兰输了,故意岔开话题
有一点惆怅,故意岔开话题
意大利赢了,故意岔开话题
已成癫狂尚抽刀,故意岔开话题
已白头,故意岔开话题
伊朗赢了,故意岔开话题
一下都没心情了,故意岔开话题
一上午的时间就浪费了,故意岔开话题
一切别来无恙,故意岔开话题
意大利输了,故意岔开话题
今天是几号,故意岔开话题
有一些思念,故意岔开话题
雨落的时候,故意岔开话题
查户口的啊,故意岔开话题
不要急,故意岔开话题
不要和你沟通,故意岔开话题
不是本人，有病小医生,故意岔开话题
不认识填你名字电话,故意岔开话题
不认识填你公司电话,故意岔开话题
雨打了年华溜走,故意岔开话题
唉你好,故意岔开话题
啊啊啊我好冷,故意岔开话题
啊，五环，你比四环多一环,故意岔开话题
啊，五环，你比六环少一环,故意岔开话题
天气不错,故意岔开话题
这江山万里又何惧万里,故意岔开话题
这大把好时光,故意岔开话题
哎呦前面有条狗,故意岔开话题
你们简直是高利贷哦呢,故意岔开话题
那么多XXX，你说的是哪一个,故意岔开话题
我不愿意告诉你,故意岔开话题
我和你之间没发交流,故意岔开话题
我就是不告诉你,故意岔开话题
我没有义务告知你,故意岔开话题
我是不是关你何事？,故意岔开话题
我是不是关你什么事情,故意岔开话题
我是不是管你什么事,故意岔开话题
我不想说话,故意岔开话题
我是不是和你有关系么,故意岔开话题
我现在不想说话,故意岔开话题
我应该认识他吗,故意岔开话题
我愿意认识就认识，不愿意就不认识,故意岔开话题
我在睡觉别烦我,故意岔开话题
与我有关系吗,故意岔开话题
再见,故意岔开话题
我是你大爷,故意岔开话题
我不想回答,故意岔开话题
我不给你说,故意岔开话题
是与不是，你打电话干嘛,故意岔开话题
你问这个问题是不是弱智,故意岔开话题
你找我没用啊,故意岔开话题
你找张三打我电话干嘛,故意岔开话题
你自己联系他,故意岔开话题
你自己去找,故意岔开话题
凭什么回答你,故意岔开话题
认不认识管你什么事,故意岔开话题
认不认识和你有毛关系,故意岔开话题
认识怎么样不认识又怎么样,故意岔开话题
是不是跟你有关系,故意岔开话题
是不是关你什么事？,故意岔开话题
是不是管你什么事,故意岔开话题
是不是和你有关系吗,故意岔开话题
是又怎么样不又怎么样,故意岔开话题
是又怎样，不是又怎样？,故意岔开话题
找借口,故意岔开话题
你问我我怎么知道,故意岔开话题
找警察,故意岔开话题
这个保证不了,故意岔开话题
这电话有毒,故意岔开话题
胎神,故意岔开话题
你晓不晓得，听到你的声音我就想打干呕,故意岔开话题
爱干啥干啥,故意岔开话题
不要总觉得你们了不起，一天到晚打个不停，讨债的了不起啊,故意岔开话题
啊？,故意岔开话题
我该给你说啊？,故意岔开话题
不想理你,故意岔开话题
你管我啊,故意岔开话题
死开,故意岔开话题
你怎么不去问他认不认识我啊？,故意岔开话题
再打电话来我报警了,故意岔开话题
忙，没时间。,故意岔开话题
不要再打了,故意岔开话题
他的事你直接去找他，别找我,故意岔开话题
我跪谢你别给我打电话了哈！,故意岔开话题
我难得还了,故意岔开话题
给你说个铲铲,故意岔开话题
转告不了,故意岔开话题
自己去查,故意岔开话题
自己去营业厅查,故意岔开话题
自己想,故意岔开话题
自己找,故意岔开话题
自己找他,故意岔开话题
自己找他,故意岔开话题
二货,故意岔开话题
不好意思，我没兴趣,故意岔开话题
你牛,故意岔开话题
去死吧,故意岔开话题
麻烦,故意岔开话题
烦,故意岔开话题
什么玩意儿,故意岔开话题
如果我不还呢？,故意岔开话题
找警察问,故意岔开话题
瓜娃子，莫装怪,故意岔开话题
抱一抱，就当做从没借款2万,故意岔开话题
你说我是还是不是呢,故意岔开话题
不要骚扰了,故意岔开话题
不要骚扰我,故意岔开话题
不在,故意岔开话题
你们是高利贷哦，这么多利息,故意岔开话题
不正面回答,故意岔开话题
不知道,故意岔开话题
你说的是2万越南盾哇？,故意岔开话题
不知道，你哪里,故意岔开话题
不知道了,故意岔开话题
不知道呢,故意岔开话题
打她电话，打我电话干嘛,故意岔开话题
打我电话干嘛的,故意岔开话题
烦不烦,故意岔开话题
烦死了,故意岔开话题
不知道啊,故意岔开话题
不要老打我电话,故意岔开话题
不要烦我,故意岔开话题
不要打我电话,故意岔开话题
不关我的事,故意岔开话题
不关我事,故意岔开话题
不管我的事,故意岔开话题
不说,故意岔开话题
不说的,故意岔开话题
我数学不好,故意岔开话题
我是她爸爸,故意岔开话题
我认识你吗？,故意岔开话题
不说话,故意岔开话题
不太懂,故意岔开话题
不想告诉你,故意岔开话题
不想理你,故意岔开话题
不想说话,故意岔开话题
不要打电话了,故意岔开话题
不要打过来,故意岔开话题
烦死了，天天打电话,故意岔开话题
你说我是谁,故意岔开话题
干嘛告诉你,故意岔开话题
给我发红包就告诉你,故意岔开话题
你们把之前打我通讯录的人找出来,故意岔开话题
你们不认识啊,故意岔开话题
你们要向我道歉,故意岔开话题
请我吃饭,故意岔开话题
你们真烦,故意岔开话题
你弄好了再说,故意岔开话题
你还是找本人吧,故意岔开话题
你去猜吧,故意岔开话题
你去问他,故意岔开话题
我在车站里，太吵了,故意岔开话题
你认识你自己找,故意岔开话题
你认识他啊,故意岔开话题
你认识他吗？,故意岔开话题
你认为呢,故意岔开话题
你去试试吧,故意岔开话题
你还是挂电话吧,故意岔开话题
你管我谁,故意岔开话题
你管我是谁,故意岔开话题
没时间,故意岔开话题
没事挂了,故意岔开话题
能不能别打我电话,故意岔开话题
能不能不要打我电话骚扰我，他管我什么事,故意岔开话题
你不要打电话过来了,故意岔开话题
如果你能判断今天的天气，我就告诉你答案，咋样？,故意岔开话题
你不知道我认不认识，你打我电话干嘛,故意岔开话题
你不知道我是谁你打我电话？,故意岔开话题
你打电话你不知道我是谁吗,故意岔开话题
你打谁电话你不知道啊,故意岔开话题
你打我电话还问我是谁？？,故意岔开话题
你都打过来了还问是不是,故意岔开话题
你管我认不认识,故意岔开话题
你管我是不是,故意岔开话题
你管我是不是了,故意岔开话题
搞不醒活。,故意岔开话题
不发红包不说,故意岔开话题
你又是老几，你不说我为啥要说,故意岔开话题
我现在忙得很,故意岔开话题
我不说,故意岔开话题
你们不要打了，这个电话不用了,故意岔开话题
烦,故意岔开话题
关你什么事,故意岔开话题
我不知道,故意岔开话题
什么？搞不懂。莫惹我,故意岔开话题
是不是或者认识不认识和你有什么关系,故意岔开话题
你管我是不是,故意岔开话题
弱智,故意岔开话题
有病,故意岔开话题
好了，不说了,故意岔开话题
我龟儿脑壳有包吗,故意岔开话题
你龟儿子吃饱了所,故意岔开话题
做梦去吧。,故意岔开话题
关你屁事,故意岔开话题
懒得理你,故意岔开话题
我心情不好，不想多说,故意岔开话题
不要闹，烦得很,故意岔开话题
不要闹,故意岔开话题
认识又怎么样,故意岔开话题
你不要烦我,故意岔开话题
别理我,故意岔开话题
有你什么事,故意岔开话题
